iter	Passed	Remaining
0	171	171502
1	181	90431
2	190	63429
3	200	49880
4	208	41509
5	215	35741
6	223	31710
7	230	28620
8	238	26211
9	245	24339
10	252	22721
11	259	21390
12	266	20243
13	273	19265
14	280	18436
15	287	17681
16	294	17006
17	300	16394
18	307	15851
19	313	15357
20	319	14907
21	326	14493
22	332	14137
23	339	13786
24	345	13477
25	352	13207
26	359	12957
27	365	12694
28	371	12439
29	377	12212
30	383	11979
31	388	11763
32	394	11560
33	399	11362
34	406	11204
35	412	11054
36	418	10905
37	424	10753
38	430	10610
39	436	10478
40	442	10352
41	448	10225
42	453	10101
43	459	9982
44	464	9863
45	470	9748
46	475	9643
47	480	9534
48	486	9433
49	491	9336
50	496	9240
51	501	9148
52	507	9059
53	512	8975
54	517	8895
55	523	8817
56	528	8745
57	533	8668
58	538	8592
59	543	8521
60	548	8449
61	553	8378
62	558	8312
63	564	8252
64	569	8195
65	575	8147
66	581	8091
67	586	8036
68	591	7983
69	596	7931
70	602	7882
71	608	7839
72	614	7797
73	618	7745
74	624	7703
75	629	7658
76	635	7616
77	641	7582
78	647	7544
79	652	7504
80	658	7467
81	664	7436
82	669	7399
83	675	7363
84	680	7322
85	685	7287
86	691	7251
87	696	7216
88	701	7181
89	706	7146
90	711	7111
91	717	7080
92	722	7045
93	727	7015
94	732	6982
95	738	6951
96	743	6922
97	749	6894
98	754	6863
99	759	6834
100	764	6804
101	769	6775
102	774	6745
103	779	6718
104	785	6696
105	790	6670
106	796	6649
107	801	6622
108	806	6596
109	812	6571
110	817	6546
111	822	6519
112	827	6498
113	833	6477
114	838	6452
115	843	6426
116	848	6404
117	853	6382
118	858	6358
119	864	6336
120	869	6313
121	874	6294
122	879	6270
123	884	6247
124	889	6226
125	894	6204
126	899	6184
127	905	6165
128	910	6150
129	916	6130
130	921	6110
131	926	6093
132	932	6077
133	937	6057
134	942	6039
135	947	6021
136	953	6006
137	958	5989
138	964	5974
139	969	5957
140	975	5941
141	980	5924
142	985	5908
143	991	5892
144	996	5876
145	1002	5862
146	1007	5844
147	1012	5827
148	1017	5812
149	1023	5799
150	1028	5784
151	1034	5769
152	1039	5754
153	1044	5739
154	1050	5725
155	1055	5709
156	1060	5693
157	1065	5679
158	1071	5667
159	1076	5653
160	1082	5638
161	1087	5624
162	1092	5610
163	1098	5597
164	1102	5581
165	1107	5566
166	1112	5551
167	1118	5537
168	1123	5524
169	1129	5512
170	1134	5497
171	1138	5482
172	1144	5469
173	1149	5457
174	1155	5445
175	1160	5433
176	1165	5421
177	1171	5410
178	1177	5398
179	1182	5388
180	1187	5374
181	1192	5361
182	1197	5348
183	1203	5335
184	1208	5324
185	1213	5312
186	1218	5299
187	1224	5287
188	1229	5275
189	1234	5263
190	1239	5250
191	1244	5239
192	1250	5226
193	1255	5215
194	1260	5202
195	1265	5189
196	1270	5178
197	1275	5165
198	1280	5152
199	1284	5139
200	1289	5126
201	1294	5114
202	1299	5101
203	1304	5090
204	1310	5080
205	1315	5071
206	1321	5061
207	1325	5048
208	1331	5037
209	1335	5025
210	1340	5013
211	1346	5004
212	1351	4993
213	1356	4981
214	1361	4970
215	1366	4959
216	1371	4948
217	1376	4938
218	1382	4930
219	1387	4920
220	1392	4909
221	1397	4898
222	1402	4888
223	1408	4878
224	1413	4868
225	1418	4856
226	1423	4845
227	1428	4835
228	1432	4824
229	1437	4813
230	1442	4802
231	1447	4791
232	1452	4781
233	1457	4769
234	1461	4759
235	1466	4748
236	1471	4737
237	1476	4727
238	1481	4717
239	1486	4707
240	1491	4697
241	1496	4687
242	1501	4677
243	1506	4667
244	1511	4656
245	1516	4646
246	1521	4637
247	1525	4626
248	1530	4616
249	1535	4606
250	1540	4597
251	1545	4587
252	1550	4577
253	1555	4568
254	1560	4559
255	1565	4551
256	1571	4543
257	1576	4534
258	1581	4525
259	1586	4515
260	1591	4505
261	1595	4495
262	1600	4486
263	1605	4477
264	1610	4467
265	1615	4458
266	1620	4449
267	1625	4439
268	1630	4431
269	1635	4421
270	1640	4412
271	1645	4403
272	1650	4394
273	1654	4385
274	1659	4376
275	1664	4367
276	1669	4358
277	1675	4350
278	1680	4343
279	1685	4334
280	1690	4326
281	1695	4317
282	1701	4309
283	1706	4301
284	1711	4293
285	1716	4285
286	1721	4276
287	1726	4268
288	1731	4260
289	1736	4252
290	1742	4244
291	1747	4237
292	1752	4229
293	1758	4222
294	1763	4214
295	1769	4207
296	1774	4200
297	1780	4194
298	1785	4186
299	1791	4179
300	1796	4172
301	1801	4164
302	1806	4156
303	1812	4148
304	1816	4140
305	1822	4132
306	1827	4124
307	1832	4117
308	1837	4109
309	1842	4101
310	1847	4094
311	1853	4086
312	1858	4079
313	1864	4072
314	1869	4064
315	1874	4056
316	1879	4049
317	1884	4041
318	1889	4033
319	1894	4026
320	1899	4018
321	1904	4010
322	1909	4002
323	1914	3994
324	1919	3987
325	1924	3979
326	1930	3973
327	1935	3966
328	1941	3958
329	1946	3952
330	1952	3946
331	1957	3939
332	1963	3932
333	1967	3923
334	1972	3916
335	1977	3908
336	1983	3901
337	1988	3895
338	1994	3888
339	1999	3881
340	2004	3874
341	2010	3868
342	2015	3860
343	2021	3854
344	2026	3847
345	2032	3841
346	2037	3834
347	2042	3826
348	2047	3819
349	2053	3812
350	2058	3806
351	2064	3800
352	2069	3793
353	2074	3786
354	2080	3779
355	2085	3773
356	2091	3766
357	2096	3760
358	2102	3753
359	2107	3746
360	2112	3739
361	2118	3733
362	2123	3725
363	2128	3718
364	2133	3711
365	2139	3705
366	2144	3698
367	2149	3691
368	2154	3684
369	2159	3677
370	2164	3670
371	2169	3662
372	2174	3655
373	2179	3648
374	2184	3641
375	2189	3633
376	2194	3626
377	2199	3619
378	2204	3612
379	2209	3604
380	2214	3597
381	2220	3591
382	2225	3584
383	2230	3578
384	2235	3571
385	2240	3564
386	2245	3557
387	2250	3549
388	2255	3543
389	2261	3536
390	2266	3529
391	2271	3522
392	2275	3514
393	2280	3507
394	2285	3500
395	2290	3493
396	2295	3486
397	2300	3480
398	2306	3473
399	2311	3467
400	2316	3460
401	2321	3453
402	2326	3446
403	2331	3439
404	2336	3433
405	2341	3426
406	2347	3419
407	2351	3412
408	2357	3405
409	2362	3399
410	2367	3392
411	2372	3385
412	2377	3379
413	2382	3372
414	2387	3366
415	2393	3359
416	2398	3353
417	2404	3347
418	2409	3341
419	2414	3334
420	2420	3328
421	2425	3322
422	2430	3315
423	2435	3308
424	2441	3302
425	2446	3296
426	2452	3290
427	2457	3284
428	2462	3277
429	2467	3270
430	2473	3265
431	2478	3258
432	2483	3252
433	2488	3245
434	2493	3238
435	2498	3231
436	2503	3225
437	2508	3218
438	2513	3211
439	2518	3205
440	2523	3198
441	2528	3192
442	2534	3186
443	2539	3179
444	2544	3173
445	2549	3167
446	2554	3160
447	2560	3154
448	2565	3148
449	2570	3141
450	2575	3135
451	2580	3128
452	2585	3122
453	2590	3115
454	2595	3109
455	2600	3102
456	2605	3095
457	2610	3089
458	2615	3082
459	2620	3075
460	2625	3069
461	2630	3062
462	2635	3056
463	2640	3049
464	2645	3043
465	2650	3037
466	2655	3030
467	2660	3024
468	2664	3017
469	2669	3010
470	2674	3004
471	2679	2997
472	2684	2990
473	2689	2984
474	2694	2977
475	2699	2971
476	2704	2964
477	2709	2958
478	2714	2952
479	2719	2946
480	2725	2940
481	2730	2933
482	2735	2927
483	2739	2921
484	2744	2914
485	2749	2907
486	2754	2901
487	2759	2895
488	2764	2888
489	2769	2882
490	2774	2876
491	2780	2870
492	2785	2864
493	2790	2858
494	2795	2852
495	2800	2845
496	2805	2839
497	2811	2834
498	2817	2828
499	2822	2822
500	2827	2816
501	2832	2809
502	2837	2803
503	2842	2797
504	2847	2790
505	2852	2784
506	2857	2778
507	2862	2772
508	2867	2765
509	2872	2759
510	2877	2753
511	2883	2747
512	2888	2742
513	2893	2736
514	2898	2730
515	2903	2723
516	2908	2717
517	2913	2711
518	2918	2704
519	2923	2698
520	2928	2692
521	2934	2686
522	2939	2681
523	2945	2676
524	2951	2670
525	2956	2663
526	2961	2657
527	2966	2651
528	2971	2645
529	2976	2639
530	2981	2633
531	2986	2627
532	2991	2620
533	2996	2614
534	3001	2608
535	3006	2602
536	3010	2596
537	3016	2590
538	3020	2583
539	3026	2577
540	3031	2571
541	3036	2565
542	3041	2559
543	3046	2553
544	3051	2547
545	3056	2541
546	3061	2535
547	3066	2529
548	3071	2523
549	3076	2517
550	3082	2511
551	3087	2505
552	3092	2499
553	3097	2493
554	3103	2488
555	3110	2484
556	3115	2478
557	3120	2472
558	3125	2465
559	3130	2459
560	3135	2453
561	3141	2447
562	3146	2441
563	3151	2436
564	3156	2430
565	3161	2424
566	3166	2418
567	3172	2412
568	3177	2406
569	3182	2400
570	3187	2394
571	3192	2388
572	3197	2382
573	3202	2377
574	3208	2371
575	3213	2365
576	3218	2359
577	3223	2353
578	3228	2347
579	3233	2341
580	3239	2335
581	3244	2330
582	3249	2324
583	3255	2318
584	3260	2312
585	3265	2307
586	3270	2301
587	3276	2295
588	3281	2289
589	3286	2283
590	3291	2278
591	3297	2272
592	3302	2266
593	3307	2260
594	3313	2255
595	3318	2249
596	3322	2243
597	3328	2237
598	3333	2231
599	3338	2225
600	3343	2219
601	3348	2213
602	3353	2207
603	3358	2201
604	3363	2195
605	3368	2189
606	3372	2183
607	3377	2177
608	3382	2171
609	3387	2165
610	3392	2160
611	3397	2154
612	3402	2148
613	3408	2142
614	3413	2136
615	3418	2130
616	3424	2125
617	3429	2119
618	3434	2114
619	3440	2108
620	3445	2102
621	3450	2096
622	3455	2090
623	3460	2084
624	3465	2079
625	3470	2073
626	3475	2067
627	3481	2062
628	3486	2056
629	3491	2050
630	3497	2045
631	3502	2039
632	3507	2033
633	3512	2027
634	3517	2022
635	3522	2016
636	3527	2010
637	3532	2004
638	3536	1998
639	3542	1992
640	3546	1986
641	3551	1980
642	3556	1974
643	3561	1968
644	3566	1962
645	3570	1956
646	3576	1951
647	3581	1945
648	3586	1939
649	3592	1934
650	3597	1928
651	3602	1922
652	3607	1916
653	3612	1911
654	3617	1905
655	3622	1899
656	3627	1894
657	3633	1888
658	3638	1882
659	3643	1877
660	3649	1871
661	3654	1865
662	3659	1860
663	3664	1854
664	3669	1848
665	3674	1842
666	3679	1837
667	3685	1831
668	3690	1825
669	3695	1820
670	3700	1814
671	3706	1809
672	3711	1803
673	3716	1797
674	3721	1791
675	3726	1786
676	3732	1780
677	3737	1774
678	3742	1769
679	3746	1763
680	3751	1757
681	3756	1751
682	3761	1745
683	3766	1740
684	3771	1734
685	3776	1728
686	3781	1722
687	3786	1717
688	3791	1711
689	3796	1705
690	3801	1699
691	3806	1694
692	3810	1688
693	3815	1682
694	3820	1676
695	3825	1670
696	3830	1665
697	3835	1659
698	3841	1654
699	3846	1648
700	3851	1642
701	3856	1637
702	3861	1631
703	3866	1625
704	3871	1619
705	3875	1614
706	3880	1608
707	3885	1602
708	3890	1596
709	3895	1591
710	3900	1585
711	3905	1579
712	3910	1574
713	3915	1568
714	3920	1562
715	3925	1557
716	3930	1551
717	3935	1545
